state,office,BPI,polls,variance,standard_deviation,number_of_polls,last_30_polls
Alabama,Governor,38.856911087573444,NA,11.85820905459838,3.4435750397803706,0,0
Alabama,Senate,38.856911087573444,NA,11.85820905459838,3.4435750397803706,0,0
Alaska,Senate,42.34414164928131,NA,13.41324477254287,3.662409694796975,0,0
Alaska,Governor,42.34414164928131,NA,13.41324477254287,3.662409694796975,0,0
Arizona,Senate,41.38652082164871,53.5237675848975,10.226493043908636,3.1978888417061397,14,9
Arizona,Governor,41.38652082164871,49.98966813071089,9.222293570145752,3.0368229402034213,11,8
Arkansas,Senate,36.5803502611594,41.21621621621622,13.923595701698094,3.731433464728816,1,1
Arkansas,Governor,36.5803502611594,38.40794997480911,11.351477686806989,3.36919540644454,4,3
California,Governor,62.586872455790065,65.1685393258427,5.847582081597671,2.4181774297180243,1,1
California,Senate,62.586872455790065,NA,10.022220351420401,3.1657890566840363,0,0
Colorado,Senate,54.268120302384304,54.28883275169832,8.543199122620406,2.922875146601443,8,2
Colorado,Governor,54.268120302384304,56.23660624136818,7.1460123398834705,2.673202637265546,6,2
Connecticut,Senate,58.526242019500806,58.27831349565936,6.161217690268471,2.4821800277716504,2,2
Connecticut,Governor,58.526242019500806,57.64337455892965,5.986249678741065,2.4466813602798925,5,2
Florida,Senate,48.53526438955828,48.2990143931696,12.351902065768014,3.5145272890913812,21,5
Florida,Governor,48.53526438955828,46.470222860412704,11.778923985175904,3.432043703855751,9,6
Georgia,Senate,41.97169174882852,51.4118832070629,7.6164809363242245,2.759797263627208,23,8
Georgia,Governor,41.97169174882852,47.174589367525435,5.9991963152523695,2.449325685827095,22,9
Hawaii,Governor,69.17210294990738,NA,9.002998060880227,3.000499635207481,0,0
Hawaii,Senate,69.17210294990738,NA,9.002998060880227,3.000499635207481,0,0
Idaho,Governor,34.35676477964845,NA,18.377763063390578,4.286929328014468,0,0
Idaho,Senate,34.35676477964845,NA,18.377763063390578,4.286929328014468,0,0
Illinois,Senate,57.926424852004544,61.53811595338949,8.18214534894921,2.860444956462055,2,1
Illinois,Governor,57.926424852004544,58.0603333331569,8.884864087057798,2.980748913789586,4,2
Indiana,Senate,42.42633551137972,48.275862068965516,6.406028541156584,2.531013342745665,1,0
Iowa,Senate,45.49003365482535,47.57268104957858,10.559500057583822,3.249538437622153,10,1
Iowa,Governor,45.49003365482535,40.937833254745385,11.52305199336827,3.394562121005929,4,0
Kansas,Senate,43.255565338511026,41.16074260240027,12.173413893581387,3.489041973605561,2,2
Kansas,Governor,43.255565338511026,52.87519663772351,10.04231554858567,3.1689612728125396,5,2
Kentucky,Senate,38.46817941987608,41.48936170212766,10.48733578158092,3.238415628294324,1,0
